N 100 
0 102 110
1 1 176
2 26 80
3 198 30
4 140 57
5 129 66
6 26 112
7 115 10
8 6 198
9 116 76
10 123 34
11 67 158
12 99 125
13 170 37
14 91 21
15 40 132
16 80 167
17 17 92
18 85 84
19 4 28
20 137 70
21 164 126
22 124 163
23 0 101
24 104 142
25 70 8
26 156 179
27 109 137
28 36 54
29 68 88
30 145 111
31 197 113
32 108 87
33 162 49
34 65 18
35 21 102
36 86 61
37 148 147
38 178 72
39 12 193
40 29 184
41 58 186
42 50 37
43 138 90
44 136 172
45 108 9
46 57 196
47 106 119
48 64 91
49 36 162
50 154 82
51 191 82
52 160 154
53 188 42
54 56 141
55 200 44
56 52 73
57 177 182
58 190 137
59 138 42
60 107 49
61 144 99
62 27 130
63 106 168
64 192 126
65 73 104
66 176 80
67 176 118
68 33 178
69 45 5
70 57 184
71 147 163
72 110 102
73 160 38
74 186 149
75 180 96
76 63 0
77 157 10
78 163 25
79 142 64
80 18 127
81 30 0
82 31 0
83 112 89
84 14 53
85 122 125
86 190 10
87 21 137
88 72 27
89 14 81
90 10 15
91 39 107
92 12 116
93 102 173
94 54 173
95 175 141
96 82 170
97 50 183
98 149 91
99 158 68
