N 100 
0 8 174
1 113 33
2 12 173
3 23 169
4 135 36
5 25 47
6 29 76
7 8 60
8 68 151
9 191 31
10 54 178
11 24 175
12 190 37
13 161 119
14 6 27
15 50 80
16 103 15
17 54 148
18 18 195
19 61 133
20 135 63
21 107 199
22 145 66
23 183 99
24 102 54
25 113 194
26 72 122
27 137 89
28 109 87
29 198 47
30 146 31
31 107 111
32 61 168
33 84 67
34 125 78
35 66 36
36 200 174
37 15 30
38 176 95
39 69 147
40 129 117
41 179 141
42 59 147
43 110 44
44 3 192
45 20 4
46 179 28
47 21 147
48 39 65
49 33 1
50 122 72
51 158 10
52 12 194
53 113 81
54 189 111
55 157 107
56 45 170
57 164 185
58 95 50
59 20 174
60 50 41
61 95 81
62 84 61
63 137 189
64 52 89
65 75 182
66 104 10
67 39 1
68 127 21
69 140 197
70 136 185
71 198 116
72 141 46
73 199 31
74 79 190
75 176 174
76 121 98
77 82 167
78 27 72
79 60 133
80 81 85
81 36 62
82 101 135
83 26 121
84 38 182
85 135 120
86 198 152
87 88 21
88 144 52
89 191 24
90 177 121
91 16 16
92 125 2
93 45 27
94 44 166
95 39 74
96 142 115
97 138 138
98 48 7
99 181 84
